,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaultPayment
34,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5293,5006,31178,3180,0,5293,768,0
35,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-1884,131,396,396,565,792,0,0
36,1,2,1,40,0,0,0,0,0,0,186503,177413,8026,8060,6300,6400,6400,6737,0
37,2,2,2,22,0,0,0,0,0,-1,15054,18660,1500,1518,2043,0,47671,617,0
38,1,1,2,25,1,-1,-1,-2,-2,-2,0,0,780,0,0,0,0,0,1
39,1,1,2,31,-1,-1,2,-1,0,-1,498,9477,9075,0,9976,8000,9525,781,0
40,1,1,2,33,0,0,0,0,0,0,218668,179224,10000,7000,6000,188840,28000,4000,0
41,2,1,2,25,0,0,0,0,0,0,67521,65970,3000,4500,4042,2500,2800,2500,0
42,1,2,2,22,0,0,0,0,0,0,1877,4451,1500,2927,1000,300,1000,500,0
43,2,2,1,37,0,0,0,0,0,0,59504,69802,3000,3000,3000,4000,4000,3000,0
44,2,1,2,30,0,0,0,2,0,0,18927,29197,3000,5000,0,2000,3000,0,0
45,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
46,2,1,2,22,0,0,2,-1,0,0,14028,0,3000,0,16741,334,0,0,1
47,2,4,2,46,0,0,-1,0,0,-2,4463,0,1013,1170,0,0,0,0,1
48,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,11873,21540,15138,24677,11851,11875,8251,0
49,1,1,2,24,0,0,0,0,0,0,17447,20063,1318,1315,704,928,912,1069,0
50,1,3,2,42,1,2,2,2,2,0,37042,39362,0,3100,2000,0,1500,1500,1
51,2,3,3,43,0,0,0,0,0,0,61559,33258,2000,1606,1500,2000,1500,1000,0
52,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,464,7875,7600,11185,3544,464,0,0
53,2,1,2,25,1,2,0,0,0,0,41402,45319,1300,2010,1762,1762,1790,1622,0
54,2,1,2,29,2,0,0,0,0,0,46224,16540,1600,1718,1049,1500,2000,5000,0
55,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,2530,3640,162,0,151,2530,0,0
56,2,3,1,34,0,0,0,-1,-1,-1,16386,8321,8500,1500,7500,679,9000,2000,0
57,2,2,1,34,0,0,0,0,0,0,175886,129918,8083,7296,5253,4814,4816,3800,0
58,2,1,2,34,-1,3,2,2,2,2,1587,1414,0,0,700,0,1200,0,0
59,2,2,1,29,0,0,0,0,0,0,400134,364089,17000,15029,30000,12000,12000,23000,0
60,2,3,1,28,0,0,0,0,0,0,22848,15571,1516,1300,1000,1000,2000,2000,1
61,1,2,1,39,0,0,0,0,0,-1,70800,830,4025,2095,1000,2000,3000,0,0
62,1,1,2,29,2,2,2,2,2,2,24987,28264,0,2700,0,2225,1200,0,1
63,2,2,1,46,0,0,0,-2,-2,-2,28718,0,1000,0,0,0,0,0,1
64,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,0,2353,0,0,0
65,1,1,1,57,-2,-2,-2,-1,2,2,152519,7918,0,0,8222,300,0,1000,1
66,1,2,1,56,2,2,2,0,0,0,2097,4326,2300,0,150,200,200,160,1
67,2,1,2,30,2,-1,-1,-1,-1,-1,300,4250,300,1159,2280,300,4250,909,0
68,2,3,2,29,1,-2,-2,-1,2,-1,-190,7319,0,0,20161,0,7319,13899,0
69,1,4,2,22,2,0,0,0,0,0,18565,5982,0,1200,1000,500,1000,0,0
70,1,1,2,31,-1,-1,-1,-1,-1,-1,780,390,0,390,390,390,390,390,0
71,1,2,2,29,2,2,2,2,2,2,58267,63526,2500,2500,0,4800,2400,1600,1
72,2,2,1,32,-1,-1,-1,-1,2,-1,9076,3151,5818,15,9102,17,3165,1395,0
73,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,0,3155,0,2359,0,0,0
74,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,25820,5713,23453,4314,80552,25949,2016,0
75,1,2,2,24,0,0,2,0,0,0,14619,18543,2850,0,610,630,1500,0,0
76,1,3,2,25,-1,0,0,0,0,0,42838,10030,1759,1779,320,500,1000,1000,0
77,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,0
78,2,2,2,22,0,0,0,0,0,0,28387,6411,1686,1400,560,3000,1765,0,1
79,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
80,2,3,3,33,0,0,0,0,0,0,165254,29889,6400,7566,3000,960,1000,3000,0
81,2,1,2,26,0,0,0,0,0,-1,23411,196,4796,3400,3100,146900,196,2963,0
82,1,3,2,30,0,0,0,0,0,0,26324,19771,1576,1213,648,768,1140,0,1
83,2,2,1,44,0,0,2,0,0,0,131595,94058,10700,3,3050,3000,3200,2800,0
84,2,3,2,49,0,0,0,0,0,0,48909,19482,1676,1302,700,699,849,826,0
85,1,2,2,33,0,0,0,0,0,0,130028,120418,4400,3547,80000,4500,4800,4500,0
86,2,1,1,45,-1,-1,2,0,-1,-1,390,390,1170,0,0,390,390,390,1
87,2,2,2,32,0,0,0,0,0,-1,3826,766,1147,2000,2000,0,766,2303,0
88,2,1,1,35,0,0,0,-1,-1,-1,81313,1190,40000,5000,1330,7095,1190,2090,0
89,1,3,2,44,2,2,0,0,0,2,8583,11970,0,1651,1000,2000,0,1500,0
90,1,1,1,53,2,2,2,2,2,2,138180,149531,6300,5500,5500,5500,5000,5000,1
91,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,0,3968,0,0,0,0,0
92,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,0,7555,0,0,0,0,0,0
93,2,2,1,37,-1,-1,-1,-1,-1,-2,880,0,1602,840,840,0,0,7736,0
94,2,2,2,23,0,0,0,0,0,0,45648,19323,1937,1301,682,690,816,835,0
95,1,2,2,35,0,0,0,0,0,0,83725,30835,3621,3597,1179,1112,1104,1143,0
96,1,1,1,43,-1,-1,-1,-1,-1,0,3967,9956,8339,3394,12902,27000,0,68978,0
97,1,1,2,27,0,0,0,0,0,0,86009,40788,4031,10006,3266,4040,1698,800,0
98,2,3,1,22,0,0,0,0,0,0,18722,7899,1411,1194,379,281,321,197,0
99,1,2,1,38,0,0,0,0,0,-1,17973,150,1699,1460,626,1750,150,0,1
100,1,1,2,32,-2,-2,-2,-2,-2,-2,672,1430,10212,850,415,100,1430,0,0
101,2,1,2,30,-2,-2,-1,0,0,0,-81,34056,223,33178,1171,1197,1250,5000,0
102,1,1,1,63,0,0,0,2,2,0,422069,469961,16078,55693,17000,0,18000,24200,0
103,2,3,2,22,0,0,0,0,0,0,44698,24094,1767,1362,1002,840,995,904,1
104,2,2,2,26,2,2,2,2,2,0,56685,55305,0,5000,2511,6,3000,3000,0
105,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,26529,0,0,0,0,26529,2000,0
106,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,1150,2861,3279,3319,1150,1150,1035,0
107,1,1,2,52,-1,-1,-1,-1,-1,-1,713,5263,2272,722,867,1150,5263,5011,0
108,1,2,2,38,0,0,0,-1,-1,-1,171438,126568,10908,0,133657,4566,133841,4796,0
109,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,0,0,0,0,0,0,0
110,2,1,1,31,0,0,2,0,0,0,105879,107289,9260,0,3593,4100,15794,0,0
111,1,3,1,47,0,0,2,0,0,0,13244,17393,2000,1000,1000,1000,1000,1000,0
112,1,2,1,41,2,2,2,2,2,3,135673,149415,6500,0,14254,14850,0,5000,0
113,2,1,2,24,0,0,0,0,0,0,52128,59713,2000,2677,3076,5080,3000,2033,0
114,1,2,2,41,0,0,0,0,0,0,19015,19957,1340,1305,700,718,724,684,0
115,1,1,2,24,-1,2,0,0,3,2,18199,21201,0,1312,3000,0,1000,1000,1
116,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,326,5676,476,326,526,0
117,1,2,2,26,2,0,0,0,0,0,14029,18186,2000,1700,1000,1000,1000,1000,1
118,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,7959,9677,11867,7839,14837,7959,5712,0
119,2,2,2,38,0,0,0,0,-1,-1,50254,1203,2000,3000,3000,1307,1203,563,0
120,1,3,2,37,2,2,2,3,2,2,46004,51143,1000,4035,1000,1400,2800,0,1
121,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
122,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
123,2,2,1,35,2,0,0,0,0,0,304991,198889,13019,11128,8407,8599,6833,5987,1
124,1,1,2,27,0,0,0,0,0,0,19115,15630,1404,1130,600,861,313,0,0
125,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
126,1,3,2,52,0,0,0,0,0,0,110151,104993,3568,3585,3602,3848,3669,3784,0
127,1,1,1,36,0,0,0,0,0,0,163736,95927,4655,2690,2067,2142,2217,1000,1
128,1,2,1,51,0,0,0,0,0,0,3347,7077,1000,1066,1300,1500,1200,134,1
129,1,3,1,55,3,2,2,0,0,0,60521,26547,2504,7,1200,1200,1100,1500,0
130,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5906,5645,3508,27,13771,5911,3024,0
131,1,1,2,41,1,-1,-1,0,0,-1,95,1737,2622,3301,0,360,1737,924,0
132,1,2,1,34,0,0,0,0,0,0,253454,188108,9744,9553,7603,7830,7253,11326,0
133,1,3,1,46,0,0,0,0,0,0,227389,228203,8210,8095,8025,8175,8391,8200,0
134,2,2,2,22,0,0,0,0,0,0,28452,-780,2000,1400,0,500,0,1560,0
135,1,2,1,34,0,0,0,2,2,2,10674,13891,1500,1800,0,1000,0,327,0
136,1,1,2,27,0,0,0,0,0,0,17444,30229,2500,3000,3000,3000,3500,5000,0
137,2,2,1,33,0,0,0,0,0,0,7166,5708,1500,1500,1000,500,2000,546,0
138,2,3,1,51,-1,-1,-1,-1,-2,-2,752,0,300,5880,0,0,0,0,1
139,1,1,2,24,0,0,0,0,0,0,50801,18995,2360,1700,1000,900,870,2130,0
140,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
141,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,416,0,416,332,500,3500,832,0
142,1,2,2,23,1,2,2,2,0,0,10131,18065,1000,10000,400,700,800,600,0
143,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,15846,10000,10000,10000,9983,15863,10000,0
144,1,1,2,29,-1,-1,-1,-1,0,-1,1199,339,15586,344,2340,4702,339,330,0
145,1,1,2,28,0,0,0,0,0,3,4999,10138,1000,1500,2000,1583,1100,0,0
146,2,2,2,27,0,0,0,0,0,0,19269,9100,1661,1200,351,358,182,0,1
147,1,1,2,34,1,2,0,0,0,0,197236,59875,8000,5000,55500,5000,5000,8500,0
148,2,2,1,23,1,2,3,2,0,0,9168,12034,1650,0,0,379,2091,1,0
149,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,869,0,22500,0,969,1000,0,0
150,1,2,1,32,0,0,0,0,2,0,86627,55251,3455,3110,5000,0,2100,2602,0
151,1,1,2,25,0,0,0,0,0,0,42444,31826,30000,3000,6000,8000,2000,14000,0
152,1,1,2,41,1,-1,-1,-1,-1,-2,208,0,2906,1000,630,0,0,0,0
153,2,2,1,56,0,0,0,0,0,0,208775,169311,8042,6700,5137,100000,7000,6321,0
154,2,3,2,26,0,0,0,0,0,0,9014,14206,1700,1500,1000,1500,1500,1500,0
155,1,1,1,34,0,0,0,0,0,0,23944,48699,5000,5000,11885,5000,3000,5504,0
156,2,1,2,37,0,0,0,0,0,0,105420,94031,4000,3250,3250,3500,3560,5000,0
157,2,3,2,30,0,0,0,0,0,0,196031,122324,7300,7108,7680,6200,5000,4500,0
158,1,3,1,45,2,3,4,4,5,6,115785,154105,10478,10478,11078,11078,11678,10478,1
159,1,3,1,57,3,2,0,0,0,0,12854,14083,0,1600,500,500,600,600,0
160,1,1,2,41,2,2,2,2,2,0,24357,28321,3500,0,2200,0,1200,1250,0
161,1,2,2,27,2,-1,-1,-1,-1,2,390,540,390,780,216,864,0,390,0
162,1,3,1,47,-1,-1,-1,-1,0,-1,1234,423,396,396,792,0,423,369,0
163,2,1,1,34,0,0,2,0,0,0,141223,160220,17994,0,5469,5656,6811,3920,0
164,2,2,1,46,0,0,0,0,0,0,21148,27756,3000,1500,1500,1000,1500,1500,0
165,2,1,2,27,0,0,0,0,0,0,101640,77254,5500,3900,3000,2900,3000,2800,0
166,1,1,2,50,-2,-2,-2,-2,-2,-2,6093,13453,15383,8204,15413,4792,13453,4699,0
167,1,2,1,27,-1,2,2,0,0,0,102349,-246,3166,0,1330,1398,12,50000,0
168,2,2,1,35,0,0,0,0,0,2,72112,88290,3500,3500,3652,10000,4000,0,0
169,2,2,2,22,0,0,0,0,0,0,28040,28806,1510,1442,982,1017,1277,567,0
170,1,2,2,37,0,0,0,0,0,0,37695,24641,5000,2000,3000,4000,3000,2000,0
171,2,1,2,30,-1,-1,-1,-1,-1,-1,688,800,3288,0,4340,2672,800,746,0
172,2,2,2,22,-1,0,0,0,0,0,8567,7725,15000,1000,149,0,5000,10000,0
173,2,1,2,24,1,-2,-2,-2,-2,-2,-709,-3272,0,0,0,0,0,0,1
174,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,0,77,0,0,0,0,0
175,1,3,1,56,1,2,2,2,2,3,64617,71345,3000,3000,3000,5500,0,0,1
176,1,1,2,30,-2,-1,0,0,0,0,6187,5380,504,500,1000,500,3500,0,0
177,1,2,2,30,1,2,0,0,0,2,48860,22361,0,1500,1000,2000,0,2000,0
178,2,2,2,22,0,0,0,0,0,0,16001,14906,1212,1201,500,1500,1500,1000,0
179,2,2,1,29,0,0,2,0,0,0,77883,11486,5800,1000,600,400,1000,0,0
180,1,1,2,37,-1,-1,2,0,0,-1,12212,1256,15000,0,2000,0,1256,65935,0
181,2,3,2,35,0,-1,0,0,0,0,49608,17460,12500,6500,3000,2000,3000,2000,0
182,2,1,1,47,0,0,0,0,0,0,56422,70064,70010,30357,30000,20000,52183,20000,0
183,2,2,1,24,0,0,0,0,0,0,58024,19395,2500,1600,3000,1000,737,2000,1
184,1,2,2,25,0,0,0,0,0,-1,10642,1620,1200,1593,601,135,1824,0,0
185,2,2,1,38,1,2,0,0,2,0,14483,16448,0,1600,1500,0,1000,1500,1
186,2,1,2,32,1,-1,-1,-1,-1,-1,2616,16240,57087,5295,68454,13889,16250,38313,0
187,2,3,2,47,2,2,2,2,2,2,199436,189915,8214,7000,6800,7134,0,6836,1
188,2,2,1,34,1,-1,0,0,0,0,0,14636,5396,5000,3500,501,1000,2000,0
189,2,2,2,31,1,5,4,4,3,2,21703,20487,0,1000,0,0,760,0,0
190,1,1,2,32,0,0,0,0,0,0,59901,43328,10020,6031,10057,5028,5060,4223,0
191,2,1,2,27,2,0,0,0,2,0,19625,22873,1342,1664,2000,0,900,846,1
192,2,1,2,29,-1,-1,-1,-2,-1,0,11386,17042,199,0,0,17227,341,5114,0
193,2,1,2,24,-1,-1,2,0,0,-2,14670,0,37867,0,200,0,0,0,0
194,1,2,1,36,0,0,0,0,-1,-1,47790,658,2000,1000,2000,500,1000,20011,0
195,2,1,2,24,1,2,2,2,2,2,36166,40035,1900,1400,1700,1532,1600,0,1
196,2,2,1,34,-2,-2,-2,-2,-2,-2,0,1500,0,0,116,0,1500,0,0
197,2,1,2,22,0,0,0,0,-1,0,18553,19247,1500,1032,541,20000,693,1000,0
198,2,1,1,34,-2,-2,-2,-1,-1,-1,412,1151,138,2299,1251,1206,1151,15816,0
199,2,3,2,22,1,2,2,0,0,0,29010,0,1000,85,1714,104,0,0,1
200,2,1,1,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0
201,1,1,2,31,0,0,2,0,0,2,27123,10833,25000,0,3000,7800,0,2500,0
202,2,1,2,26,-1,0,-1,-1,-1,-1,13424,487,10000,13001,5841,13506,487,7004,0
203,1,2,2,26,0,0,0,0,0,0,107314,122135,5000,5000,4152,5000,5000,5000,0
204,2,2,1,48,0,0,0,0,0,0,226430,146511,9100,7300,5800,5600,5600,4100,0
205,1,3,1,43,-1,-1,0,0,0,0,227,19337,22359,1305,1258,1459,3457,1700,0
206,1,1,1,47,-1,-1,-1,-1,-1,-1,390,0,1473,390,390,390,0,2380,0
207,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,0,1586,343,3763,877,0,419,1
208,2,2,2,24,0,0,0,0,0,0,81625,49568,3200,3000,2038,2000,1800,1800,1
209,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,1709,4345,2854,1702,0,1709,258,0
210,1,1,2,24,0,0,0,-1,-1,-1,105607,85632,5000,5050,8303,0,85632,0,0
211,2,1,1,38,1,-2,-1,0,-1,-1,0,1222,0,250,0,789,1222,9616,1
212,2,3,1,43,0,0,0,0,0,0,38257,31339,1700,1504,1200,1500,1500,1000,0
213,1,2,2,39,0,0,0,2,0,0,28347,8032,3036,2309,0,1000,2000,148,0
214,1,2,2,27,2,2,2,2,0,0,296573,309959,13000,11001,0,10484,10838,10367,0
215,1,3,1,42,-1,-1,-1,-1,-1,2,390,780,390,390,240,1470,0,0,0
216,2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,0,0,0,0,0,0,1
217,1,2,2,36,2,0,0,0,0,0,79278,78245,3100,3500,3400,3000,3500,3000,0
218,2,3,3,31,0,0,0,0,0,0,89989,63208,4000,5000,3000,3000,3000,8954,0
219,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,0,4542,126,0,0,0,0,0
220,2,1,1,40,2,2,2,0,0,0,105167,120238,12000,0,5900,5000,4500,4700,1
221,2,3,2,45,0,0,0,0,0,0,335196,330121,12388,12378,12116,12450,12213,11678,0
222,2,2,2,35,0,0,0,0,0,0,291619,212508,12019,9006,17000,12000,9557,15000,0
223,2,2,2,33,0,0,0,0,0,0,91653,33263,10042,18832,2117,2076,5045,3754,0
224,2,3,2,37,1,3,2,0,0,0,52626,29957,0,24,1500,1000,1201,30592,1
225,2,1,2,28,0,0,0,0,0,0,130370,128839,6530,4860,22500,4820,4877,4962,0
226,1,3,1,44,-1,-1,-1,-1,-1,-2,3265,0,2686,1864,569,0,0,0,0
227,1,2,1,37,0,0,0,0,0,0,16455,19175,1609,3000,663,676,834,782,0
228,1,2,2,23,2,0,0,0,0,0,49758,18858,2401,2254,2004,704,707,1004,1
229,2,3,2,24,1,2,0,0,0,0,19154,0,0,1333,500,100,0,3200,0
230,2,1,2,24,0,0,0,0,0,0,35084,1308,2090,2002,1002,238,1011,389,0
231,1,2,2,23,1,2,0,0,2,0,20235,10104,0,1200,1000,0,1000,10000,1
232,1,2,1,26,0,0,-2,-1,-1,0,102800,46557,0,0,2624,45567,1747,2000,0
233,1,2,2,34,2,0,0,0,2,2,129801,150052,5000,5000,10000,0,12118,2769,1
234,2,2,1,33,0,0,0,0,0,0,58203,19421,1506,1298,1000,721,811,599,0
235,1,1,2,35,-1,-1,-1,-1,-1,-1,7988,19942,3983,6853,1719,1378,19942,2418,0
236,2,2,2,27,0,0,0,0,0,0,127402,29497,4500,1745,1566,1208,1077,2529,0
237,2,1,2,31,-2,-2,-2,-2,-1,-1,1440,2293,0,7422,893,6082,2293,3299,0
238,2,3,1,50,0,0,0,0,0,0,234205,214694,10116,9150,8008,8000,8009,7714,1
239,2,2,3,41,0,0,0,0,0,0,19346,16383,3000,2000,2198,1000,3000,2399,1
240,2,1,2,28,1,2,2,-2,-2,-1,21501,2285,0,0,0,0,2285,0,0
241,1,1,2,39,0,0,0,0,0,0,47174,15874,1800,2000,3000,2000,2000,2000,0
242,2,2,2,27,0,0,0,0,0,0,26655,29399,1800,1750,900,1200,1200,1100,0
243,2,1,2,32,-1,-1,2,2,-1,-1,3139,0,2821,0,0,2821,0,176,0
244,2,1,2,40,-1,-1,2,2,2,2,142,79,355,120,0,0,60,60,0
245,2,2,2,40,0,0,0,0,0,-2,19816,0,1601,2203,2114,0,0,0,0
246,2,2,1,75,0,-1,-1,-1,-1,-1,52874,794,1631,1536,1010,5572,794,1184,0
247,2,2,2,27,0,0,0,0,0,0,37767,32904,1788,1799,1100,1150,2423,0,0
248,1,1,2,25,0,0,0,0,2,0,46140,25358,2504,4007,5056,74,1023,2566,0
249,1,3,1,46,0,0,0,0,0,0,35713,17484,1561,1268,587,611,1000,2000,0
250,2,2,2,26,1,2,2,0,0,0,50867,29998,1710,136,1206,2002,2005,3003,0
251,1,2,2,28,0,0,0,0,0,0,29242,0,5006,1244,851,955,0,0,0
252,2,2,2,26,0,0,0,0,0,0,101551,106828,5366,5087,3605,3894,3785,3304,1
253,2,1,2,28,0,0,0,0,-1,0,70243,84426,7042,2000,1000,99669,12600,10000,0
254,2,2,2,29,-1,0,-1,-1,-1,-1,19532,2486,3127,1469,4968,1905,2494,862,0
255,1,2,1,25,0,0,0,0,0,0,27699,28538,1565,1393,980,994,1024,886,0
256,2,2,1,48,0,-1,-1,-1,-1,-1,1154,21361,1233,1075,1355,1130,21361,1347,0
257,2,2,1,33,-1,-1,-1,-1,0,-1,8015,2210,2453,9880,52572,1546,2210,0,0
258,2,3,1,43,0,0,-2,-2,-2,-2,62170,0,0,0,0,0,0,0,0
259,1,1,1,48,2,0,0,0,0,0,210380,162402,10000,9020,6000,5500,6000,5500,1
260,2,1,2,29,0,0,0,0,0,0,78331,36739,40010,20094,5000,5001,25365,65000,0
261,1,2,2,29,0,0,0,0,0,0,49276,28309,1602,1400,3000,3130,1062,6318,0
262,2,1,1,38,-1,-1,-1,-1,2,-1,4473,12652,4664,5969,18941,0,12652,1916,0
263,2,1,2,37,-2,-2,-2,-2,-2,-2,2283,338,51315,0,0,299,338,0,0
264,2,1,2,37,-1,-1,-1,-1,-1,-1,10115,16872,258,5995,188,1644,16872,4000,0
265,2,2,1,25,-1,-1,-2,-1,-1,-1,6156,316,0,0,316,316,316,316,0
266,1,3,2,23,0,0,0,0,0,2,6974,9411,1134,1298,478,847,0,175,0
267,2,3,2,49,0,0,0,0,0,0,89003,27500,4100,3095,1630,561,600,0,1
268,2,1,2,48,0,0,0,0,0,0,34871,35673,1600,1600,1500,1500,1500,1500,0
269,1,2,2,27,3,2,2,0,0,-1,13694,2614,1700,0,426,501,2614,1390,1
270,1,3,2,32,0,0,0,0,0,0,70003,18126,2035,2004,616,2007,1009,2015,0
271,1,1,1,34,-1,2,-1,0,0,0,1082,0,0,1350,0,0,0,450,0
272,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
273,2,2,2,33,0,0,0,0,0,0,11253,11905,2000,1322,2000,2000,1200,3000,0
274,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1
275,2,2,2,36,0,0,0,0,0,0,68699,15085,4483,12496,3268,3000,3000,2000,0
276,1,1,1,40,2,-1,-1,-1,-1,-1,171,22535,2728,0,2654,0,22545,0,1
277,2,1,2,26,-1,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316,316,0
278,1,3,1,33,0,0,0,0,0,0,50859,19703,2007,2199,691,707,703,697,0
279,2,2,1,31,0,0,0,0,0,0,103109,101299,4000,4500,5000,4000,5000,4400,0
280,2,1,2,27,0,0,-1,0,0,-2,1512,0,1000,664,1500,0,0,0,0
281,1,2,1,44,0,0,0,0,-1,-1,127543,43414,10063,5162,10150,44299,43509,31031,0
282,2,3,2,30,0,0,0,0,0,0,163935,70204,7722,6091,3563,3605,3000,3211,0
283,2,1,2,28,0,0,0,0,0,0,53494,56265,4173,3000,2025,5000,3000,3000,0
284,2,3,1,32,0,0,0,0,0,0,195126,98457,5000,5000,5000,5000,4000,5000,0
285,2,1,1,46,-1,-1,-1,-1,-1,-1,110346,586,41986,21874,20076,16171,586,19777,0
286,1,1,2,38,2,0,0,0,0,0,60502,46549,3276,2026,2000,2000,2000,2502,0
287,2,2,1,46,0,0,0,0,0,0,180641,97622,8610,6907,3727,3800,4001,2701,0
288,2,2,2,25,2,0,0,0,0,0,70896,51365,3472,2092,2000,2127,1960,1559,1
